"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/projects",785,2,960,1051,509,5402,1741598,2.67
"None","Total",785,2,960,1051,509,5402,1741598,2.67
