"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/projects",719,1,1700,1925,763,6207,1741598,2.44
"POST","/projects",0,712,0,0,0,0,0,0.00
"None","Total",719,713,1700,1925,763,6207,1741598,2.44
