"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/projects",809,1,980,1031,558,4660,1741598,2.75
"None","Total",809,1,980,1031,558,4660,1741598,2.75
