"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/projects",810,0,970,1066,428,4733,1741598,2.75
"None","Total",810,0,970,1066,428,4733,1741598,2.75
